TIME:       25 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (4, 4)
TIME:       25 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       25 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       26 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       26 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       26 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (5, 4)
TIME:       27 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 4)
TIME:       27 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       27 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       28 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       28 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       28 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 4)
TIME:       29 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       29 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       29 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 4)
TIME:       30 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 5)
TIME:       30 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       30 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       31 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       31 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 6)
TIME:       31 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       32 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 7)
TIME:       32 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (3, 6)
TIME:       32 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       33 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (7, 8)
TIME:       33 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 7)
TIME:       33 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (4, 6)
TIME:       34 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 7)
TIME:       34 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       34 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (4, 7)
TIME:       35 | ROBOT: 3 | EVENT: BOX_GRAB | COORDS: (4, 7)
TIME:       35 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 7)
TIME:       35 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       36 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       36 | ROBOT: 3 | EVENT: NOP      | COORDS: (4, 7)
TIME:       37 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       37 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (4, 6)
TIME:       37 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       38 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       38 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (3, 6)
TIME:       38 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       39 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       39 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       39 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (2, 6)
TIME:       40 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       40 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       40 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       41 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       41 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       41 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       42 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       42 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       42 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       43 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       43 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       43 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       44 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (4, 7)
TIME:       44 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       44 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       45 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       45 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       45 | ROBOT: 1 | EVENT: BOX_GRAB | COORDS: (4, 7)
TIME:       46 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       46 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       46 | ROBOT: 1 | EVENT: NOP      | COORDS: (4, 7)
TIME:       47 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       47 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       47 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (4, 6)
